ageGroup,sex,height,weight,BMI,bodyFat
1,1,158,45,18,8.1
1,1,158.1,53.4,21.4,7
1,1,160,58,22.7,8.3
1,1,160,66,25.8,18.6
1,1,161,76,29.3,21.3
1,1,161,78,30.1,22.6
1,1,162.2,47,17.9,3.9
1,1,162.2,71,27,16.5
1,1,163,76.3,28.7,22.4
1,1,163,79,29.7,23.1
1,1,163.1,67.1,25.2,14.6
1,1,164.2,62.8,23.3,23.8
1,1,164.5,66.8,24.7,11.5
1,1,165,57,20.9,6
1,1,165,57,20.9,8.9
1,1,165,57.2,21,9
1,1,165,66,24.2,15
1,1,165,75,27.5,19.2
1,1,165,77,28.3,19.7
1,1,165.5,75.9,27.7,23.7
1,1,166,64,23.2,13.1
1,1,166,73,26.5,18.3
1,1,166.2,73.4,26.6,28.9
1,1,166.3,74.8,27,20.2
1,1,166.5,72.8,26.3,17.7
1,1,166.6,71.9,25.9,17.7
1,1,166.8,60.1,21.6,13.6
1,1,166.8,64.7,23.3,22.4
1,1,167,61.4,22,15.8
1,1,167,64,22.9,11.8
1,1,167,67.6,24.2,6.1
1,1,167,68.2,24.5,19
1,1,167,68.4,24.5,24.3
1,1,167.1,64.9,23.2,15.7
1,1,167.2,60,21.5,12.6
1,1,167.2,66.3,23.7,9.4
1,1,167.3,60.5,21.6,20
1,1,167.4,61.1,21.8,15.6
1,1,167.5,79.2,28.2,13
1,1,167.8,72.9,25.9,24.7
1,1,167.9,61.1,21.7,12.7
1,1,167.9,80,28.4,21.3
1,1,168,59.1,20.9,13.6
1,1,168,60,21.3,15.7
1,1,168,60,21.3,8.8
1,1,168,63,22.3,11.6
1,1,168,63,22.3,5.1
1,1,168,63.3,22.4,11.5
1,1,168,72,25.5,16.5
1,1,168,75,26.6,13.7
1,1,168.1,61.6,21.8,13.1
1,1,168.5,56.1,19.8,4.4
1,1,168.5,62.7,22.1,11.5
1,1,168.5,75.4,26.6,10.8
1,1,168.6,61.9,21.8,13.6
1,1,168.6,61.9,21.8,9.7
1,1,168.6,80.6,28.4,32.5
1,1,168.7,61.2,21.5,12.3
1,1,168.8,53.6,18.8,14.8
1,1,168.8,69.6,24.4,21
1,1,168.9,89,31.2,29
1,1,169,62.8,22,11.5
1,1,169,63,22.1,11.7
1,1,169,63,22.1,12
1,1,169,68,23.8,7.2
1,1,169.1,67.3,23.5,5.3
1,1,169.3,44,15.4,4.3
1,1,169.4,62.6,21.8,13.4
1,1,169.4,67.6,23.6,21.2
1,1,169.5,64.5,22.5,16.3
