DateTime,PM10,PM2_5,O3,NO2,CO,SO2
2020-07-17:14,27,19,0.056,0.005,0.4,0.002
2020-07-17:13,28,22,0.059,0.006,0.4,0.002
2020-07-17:12,33,22,0.050,0.008,0.4,0.002
2020-07-17:11,32,19,0.032,0.010,0.4,0.002
2020-07-17:10,28,15,0.018,0.009,0.4,0.002
2020-07-17:09,7,,0.016,0.007,0.4,0.002
2020-07-17:08,20,14,0.009,0.007,0.4,0.002
2020-07-17:07,30,14,0.002,0.006,0.4,0.002
2020-07-17:06,29,17,0.001,0.006,0.4,0.001
2020-07-17:05,30,17,0.001,0.007,0.4,0.002
2020-07-17:04,31,18,0.003,0.007,0.4,0.002
2020-07-17:03,34,19,0.003,0.007,0.4,0.002
2020-07-17:02,29,21,0.006,0.008,0.4,0.001
2020-07-17:01,39,19,0.007,0.009,0.4,0.001
2020-07-16:24,36,20,0.008,0.012,0.4,0.001
2020-07-16:23,38,18,0.008,0.013,0.4,0.001
2020-07-16:22,35,19,0.015,0.012,0.4,0.001
2020-07-16:21,39,16,0.021,0.011,0.4,0.001
2020-07-16:20,34,12,0.032,0.011,0.4,0.001
2020-07-16:19,54,18,0.039,0.010,0.4,0.002
2020-07-16:18,47,18,0.052,0.007,0.4,0.002
2020-07-16:17,28,18,0.050,0.006,0.3,0.001
2020-07-16:16,28,17,0.047,0.004,0.3,0.001
2020-07-16:15,25,14,0.050,0.004,0.3,0.001
2020-07-16:14,26,14,0.046,0.004,0.3,0.002
2020-07-16:13,28,12,0.048,0.005,0.3,0.002
2020-07-16:12,32,15,0.049,0.008,0.3,0.002
2020-07-16:11,23,13,0.034,0.010,0.4,0.002
2020-07-16:10,19,7,0.024,0.010,0.4,0.002
2020-07-16:09,2,,0.015,0.008,0.3,0.002
2020-07-16:08,13,5,0.009,0.008,0.3,0.001
2020-07-16:07,14,8,0.003,0.009,0.3,0.001
2020-07-16:06,19,10,0.001,0.007,0.3,0.001
2020-07-16:05,13,12,0.001,0.007,0.3,0.002
2020-07-16:04,20,13,0.002,0.007,0.3,0.002
2020-07-16:03,20,16,0.001,0.008,0.3,0.001
2020-07-16:02,22,17,0.002,0.009,0.3,0.001
2020-07-16:01,15,,0.003,0.011,0.3,0.001
2020-07-15:24,20,15,0.007,0.012,0.3,0.001
2020-07-15:23,26,14,0.004,0.016,0.4,0.001
2020-07-15:22,26,10,0.012,0.013,0.4,0.001
2020-07-15:21,27,8,0.016,0.013,0.3,0.001
2020-07-15:20,24,8,0.025,0.009,0.3,0.001
2020-07-15:19,28,7,0.029,0.009,0.3,0.001
2020-07-15:18,14,4,0.034,0.006,0.2,0.001
2020-07-15:17,8,4,0.036,0.004,0.2,0.002
2020-07-15:16,12,2,0.035,0.003,0.2,0.001
2020-07-15:15,6,3,0.032,0.004,0.2,0.001
2020-07-15:14,11,3,0.028,0.003,0.2,0.001
2020-07-15:13,8,2,0.025,0.003,0.2,0.001
2020-07-15:12,5,3,0.020,0.004,0.3,0.001
2020-07-15:11,8,4,0.019,0.004,0.2,0.001
2020-07-15:10,11,7,0.017,0.005,0.3,0.001
2020-07-15:09,6,,0.015,0.007,0.3,0.001
2020-07-15:08,8,,0.013,0.005,0.3,0.001
2020-07-15:07,14,9,0.007,0.007,0.3,0.001
2020-07-15:06,17,8,0.006,0.006,0.3,0.001
2020-07-15:05,18,8,0.011,0.003,0.3,0.001
2020-07-15:04,13,6,0.015,0.002,0.3,0.001
2020-07-15:03,6,2,0.016,0.003,0.3,0.001
2020-07-15:02,7,1,0.018,0.003,0.2,0.001
2020-07-15:01,20,1,0.019,0.004,0.3,0.001
2020-07-14:24,9,2,0.023,0.004,0.2,0.001
2020-07-14:23,7,3,0.026,0.004,0.2,0.001
2020-07-14:22,7,2,0.028,0.003,0.2,0.001
2020-07-14:21,6,4,0.028,0.002,0.2,0.001
2020-07-14:20,6,3,0.029,0.002,0.2,0.001
2020-07-14:19,10,2,0.027,0.002,0.2,0.001
2020-07-14:18,3,2,0.027,0.002,0.2,0.001
2020-07-14:17,6,1,0.027,0.002,0.2,0.001
2020-07-14:16,5,2,0.027,0.002,0.2,0.001
2020-07-14:15,8,2,0.026,0.002,0.2,0.001
2020-07-14:14,4,1,0.028,0.002,0.2,0.001
2020-07-14:13,6,2,0.029,0.003,0.2,0.001
2020-07-14:12,3,3,0.030,0.002,0.2,0.001
2020-07-14:11,5,3,0.029,0.004,0.3,0.001
2020-07-14:10,6,3,0.031,0.003,0.3,0.001
2020-07-14:09,6,2,0.025,0.006,0.3,0.001
2020-07-14:08,2,,0.027,0.004,0.3,0.001
2020-07-14:07,6,,0.028,0.003,0.3,0.001
2020-07-14:06,5,1,0.030,0.002,0.3,0.001
2020-07-14:05,3,1,0.032,0.001,0.2,0.001
2020-07-14:04,4,1,0.033,0.001,0.2,0.001
2020-07-14:03,8,1,0.031,0.002,0.3,0.001
2020-07-14:02,5,1,0.031,0.002,0.3,0.001
2020-07-14:01,3,1,0.030,0.002,0.3,0.001
2020-07-13:24,3,2,0.031,0.002,0.3,0.001
2020-07-13:23,8,1,0.028,0.004,0.3,0.001
2020-07-13:22,4,2,0.027,0.004,0.3,0.001
2020-07-13:21,5,1,0.027,0.005,0.3,0.001
